id,airline_code,departure_station,arrival_station,route_id_in_FOS,miles,Wind Miles,route_string(excluding departure and arrival stations)
36,ENY,CID,DFW,12,632,632,DCT TUL DCT KLAWW VKTRY2
37,ENY,CLL,DFW,11,197,197,DCT STUFT BEREE1
38,ENY,CLL,DFW,12,226,226,DCT GUTZZ BOOVE4
39,ASQ,CLL,DFW,11,197,197,DCT STUFT BEREE1
40,ASQ,CLL,DFW,12,226,226,DCT GUTZZ BOOVE4
41,AAL,CLT,DFW,2,899,899,ESTRR3 IPTAY DCT CHOPZ DCT ATL DCT VUZ J52 SQS DCT YUYUN BEREE1
42,AAL,CLT,DFW,12,844,844,BOBZY3 BNA DCT LIT DCT MEEOW DCT FEWWW SEEVR4
43,ENY,CMI,DFW,11,621,621,DCT STL DCT RZC DCT FSM DCT KOMMA DCT RRNET SEEVR4
44,ENY,CMI,DFW,13,664,664,DCT STL J8 SGF J98 TUL DCT KLAWW VKTRY2
45,ENY,COU,DFW,11,441,441,DCT RZC DCT FSM DCT RRNET SEEVR4
46,ENY,COU,DFW,12,479,479,DCT SGF J98 TUL DCT KLAWW VKTRY2
47,ASH,COU,DFW,11,441,441,DCT RZC DCT FSM DCT RRNET SEEVR4
48,ASH,COU,DFW,12,479,479,DCT SGF J98 TUL DCT KLAWW VKTRY2
49,ASH,CRP,DFW,11,368,368,V568 SAT DCT GUTZZ BOOVE4
50,ASH,CRP,DFW,13,398,398,DCT PSX DCT ELA DCT CLL DCT LOA DCT STUFT BEREE1
51,AAL,DSM,DFW,11,576,576,J25 TUL DCT KLAWW VKTRY2
52,AAL,DSM,DFW,17,581,581,DCT EUNIK DCT RZC DCT FSM DCT KOMMA DCT RRNET SEEVR4
53,AAL,ELP,DFW,1,558,558,J26 CME DCT TXO DCT TURKI VKTRY2
54,AAL,ELP,DFW,11,506,506,TDOWN3 SFL DCT INK DCT GEEKY BOOVE4
55,ASH,ELP,DFW,1,558,558,J26 CME DCT TXO DCT TURKI VKTRY2
56,ASH,ELP,DFW,11,506,506,TDOWN3 SFL DCT INK DCT GEEKY BOOVE4
57,ASH,EVV,DFW,11,575,575,DCT PXV J131 LIT DCT MEEOW DCT FEWWW SEEVR4
58,ASH,EVV,DFW,13,651,651,DCT FAM DCT TUL DCT KLAWW VKTRY2
59,ENY,FAR,DFW,11,911,911,DCT FSD DCT KATES DCT LNK DCT JUDGE J21 IRW DCT IBAKE JOVEM4
60,ENY,FAR,DFW,13,940,940,DCT FSD DCT OVR J41 SGF DCT RRNET SEEVR4
61,ENY,GCK,DFW,11,363,363,DCT HOFFF VKTRY2
62,ENY,GCK,DFW,14,505,505,DCT TUL DCT HITUG SEEVR4
63,ENY,GGG,DFW,11,170,170,DCT OUTLN DCT BEREE BEREE1
64,ENY,GGG,DFW,13,160,160,DCT SLR DCT SEEVR SEEVR4
65,ENY,GRK,DFW,11,154,154,DCT AGJ DCT GUTZZ BOOVE4
66,ENY,GRK,DFW,43,194,194,DCT ACT DCT BEREE BEREE1
67,ASH,GRK,DFW,11,154,154,DCT AGJ DCT GUTZZ BOOVE4
68,ASH,GRK,DFW,43,194,194,DCT ACT DCT BEREE BEREE1
69,ENY,GRR,DFW,11,826,826,DCT PMM DCT STL DCT RZC DCT FSM DCT KOMMA DCT RRNET SEEVR4
70,ENY,GRR,DFW,16,939,939,DCT OBK DCT IRK J26 ICT DCT IRW DCT IBAKE VKTRY2
71,ENY,GSO,DFW,11,974,974,DCT GALLA DCT SPA DCT ATL DCT MHZ DCT MLU DCT YUYUN BEREE1
72,ENY,GSO,DFW,13,977,977,DCT GALLA DCT SPA J14 VUZ J52 SQS DCT YUYUN BEREE1
73,ENY,GSP,DFW,11,835,835,DCT IPTAY DCT CHOPZ DCT ATL DCT MHZ DCT MLU DCT YUYUN BEREE1
74,ENY,GSP,DFW,13,766,766,DCT HRS DCT GQO J118 MEM DCT LIT DCT FEWWW SEEVR4
75,AAL,GSP,DFW,11,817,835,DCT ODF DCT SQS DCT YUYUN BEREE1
76,AAL,GSP,DFW,12,766,766,DCT HRS DCT GQO J118 MEM J66 LIT DCT FEWWW SEEVR4
77,ENY,HOU,DFW,1,256,256,BLTWY4 CRIED BEREE1
78,ENY,HOU,DFW,14,318,318,IDU9 CWK DCT GUTZZ BOOVE4
79,ASH,HOU,DFW,1,256,256,BLTWY4 CRIED BEREE1
80,ASH,HOU,DFW,14,318,318,IDU9 CWK DCT GUTZZ BOOVE4
81,ASH,HSV,DFW,44,676,676,DCT MEI DCT AEX DCT PNUTS BEREE1
82,ASH,HSV,DFW,14,558,558,DCT MEM DCT LIT DCT MEEOW DCT FEWWW SEEVR3
83,AAL,IAH,DFW,1,235,235,BLTWY4 CRIED BEREE1
84,AAL,IAH,DFW,15,339,339,BNDTO5 CRGER DCT GUTZZ BOOVE4
85,AAL,ICT,DFW,11,317,317,DCT JAMEY DCT PER DCT IBAKE VKTRY2
86,AAL,ICT,DFW,15,439,439,J26 MMB DCT MDANO VKTRY2
87,ASH,ICT,DFW,11,304,304,DCT JAMEY DCT PER DCT IBAKE VKTRY2
88,ASH,ICT,DFW,15,352,352,DCT HUSKA DCT TUL DCT MLC DCT AXXEE SEEVR4
89,ASH,ICT,DFW,17,379,379,DCT TUL DCT HITUG SEEVR4
90,ENY,ICT,DFW,11,304,304,DCT JAMEY DCT PER DCT IRW DCT IBAKE VKTRY2
91,ENY,ICT,DFW,15,352,352,DCT HUSKA DCT TUL DCT MLC DCT AXXEE SEEVR4
92,ENY,ICT,DFW,17,314,314,J21 IRW DCT IBAKE VKTRY2
93,AAL,IND,DFW,1,702,702,ROCKY1 STL DCT RZC DCT FSM DCT KOMMA DCT RRNET SEEVR4
94,AAL,IND,DFW,17,745,745,ROCKY1 STL DCT TUL DCT KLAWW VKTRY2
95,ASQ,JAN,DFW,11,406,406,DCT MLU DCT YUYUN BEREE1
96,ASQ,JAN,DFW,15,382,382,DCT ELD DCT TXK DCT RRONY SEEVR4
97,ASH,JAN,DFW,11,406,406,DCT MLU DCT YUYUN BEREE1
98,ASH,JAN,DFW,15,382,382,DCT ELD DCT TXK DCT RRONY SEEVR4
99,ENY,JAN,DFW,11,406,406,DCT MLU DCT YUYUN BEREE1
100,ENY,JAN,DFW,15,382,382,DCT ELD DCT TXK DCT RRONY SEEVR4
101,AAL,JAX,DFW,11,854,854,JETIN2 CAPPS DCT SZW J2 CEW J50 AEX DCT PNUTS BEREE1
102,AAL,JAX,DFW,49,899,899,ARNEY2 AMG J45 ATL J14 LIT DCT MEEOW DCT FEWWW SEEVR4
103,ASH,JAX,DFW,11,854,854,JETIN2 CAPPS DCT SZW J2 CEW J50 AEX DCT PNUTS BEREE1
104,ASH,JAX,DFW,49,899,899,ARNEY2 AMG J45 ATL J14 LIT DCT MEEOW DCT FEWWW SEEVR4
105,ASQ,JLN,DFW,11,316,316,DCT FSM DCT KOMMA DCT RRNET SEEVR4
106,ASQ,JLN,DFW,12,325,325,DCT TUL DCT KLAWW VKTRY2
107,ENY,LAW,DFW,11,123,123,DCT VKTRY VKTRY2
108,ENY,LAW,DFW,13,188,188,DCT ADM DCT SEEVR SEEVR4
109,ASQ,LAW,DFW,11,123,123,DCT VKTRY VKTRY2
110,ASQ,LAW,DFW,13,188,188,DCT ADM DCT SEEVR SEEVR4
111,ASH,LAW,DFW,11,123,123,DCT VKTRY VKTRY2
112,ASH,LAW,DFW,13,188,188,DCT ADM DCT SEEVR SEEVR4
113,AAL,LAX,DFW,1,1150,1150,DOTSS2 CNERY DCT BLH J169 TFD J50 SSO J4 INK DCT GEEKY BOOVE4
114,AAL,LAX,DFW,11,1124,1124,DOTSS2 CNERY DCT BLH J65 PXR J18 SJN J74 TXO DCT TURKI VKTRY2
115,AAL,LAX,DFW,31,1113,1113,DOTSS2 CLEEE DCT PKE DCT KA27O DCT KA27S DCT KA27U DCT TXO DCT TURKI VKTRY2
116,AAL,LBB,DFW,11,259,259,DCT HNKER VKTRY2
117,AAL,LBB,DFW,12,301,301,DCT GEEKY BOOVE4
118,ASH,LBB,DFW,11,259,259,DCT HNKER VKTRY2
119,ASH,LBB,DFW,12,301,301,DCT GEEKY BOOVE4
120,ENY,LBB,DFW,11,259,259,DCT HNKER VKTRY2
121,ENY,LBB,DFW,12,301,301,DCT GEEKY BOOVE4
122,ENY,LFT,DFW,11,360,360,DCT AEX DCT PNUTS BEREE1
123,ENY,LFT,DFW,47,375,375,DCT AEX DCT EIC DCT RRONY SEEVR4
124,ASH,LFT,DFW,11,360,360,DCT AEX DCT PNUTS BEREE1
125,ASH,LFT,DFW,47,375,375,DCT AEX DCT EIC DCT RRONY SEEVR4
126,ENY,LIT,DFW,11,278,278,DCT MEEOW DCT FEWWW SEEVR4
127,ENY,LIT,DFW,13,361,361,DCT WASKO DCT CISAR DCT EIC DCT BEREE BEREE1
128,ASQ,LRD,DFW,11,373,373,DCT LRD J21 SAT DCT GUTZZ BOOVE4
129,ASQ,LRD,DFW,14,459,459,DCT THX DCT ELA DCT LOA DCT STUFT BEREE1
130,ENY,LRD,DFW,11,373,373,DCT LRD J21 SAT DCT GUTZZ BOOVE4
131,ENY,LRD,DFW,14,459,459,DCT THX DCT ELA DCT LOA DCT STUFT BEREE1
132,ASH,MAF,DFW,11,293,293,DCT GEEKY BOOVE4
133,ASH,MAF,DFW,14,329,329,DCT HNKER VKTRY2
134,ASQ,MAF,DFW,11,293,293,DCT GEEKY BOOVE4
135,ASQ,MAF,DFW,14,329,329,DCT HNKER VKTRY2
136,AAL,MCI,DFW,1,558,558,CHIEF7 STJ DCT SLN DCT ICT J21 IRW DCT IBAKE VKTRY2
137,AAL,MCI,DFW,15,604,604,RACER7 SGF DCT LIT DCT MEEOW DCT FEWWW SEEVR4
138,ASH,MCI,DFW,1,558,558,CHIEF7 STJ DCT SLN DCT ICT J21 IRW DCT IBAKE VKTRY2
139,ASH,MCI,DFW,15,604,604,RACER7 SGF DCT LIT DCT MEEOW DCT FEWWW SEEVR4
140,AAL,MEM,DFW,1,384,384,CHLDR4 ANSWA DCT LIT DCT MEEOW DCT FEWWW SEEVR4
141,AAL,MEM,DFW,12,503,503,PIEPE4 IBUFY DCT SQS DCT YUYUN BEREE1
142,ENY,MEM,DFW,1,384,384,CHLDR4 ANSWA DCT LIT DCT MEEOW DCT FEWWW SEEVR4
143,ENY,MEM,DFW,12,394,394,DCT LIT WILBR4
144,AAL,MFE,DFW,17,500,500,DCT JIMIE DCT CRP DCT TNV DCT LOA DCT STUFT BEREE1
145,AAL,MFE,DFW,18,454,454,V20 JIMIE V70 CRP DCT CWK DCT GUTZZ BOOVE4
146,ASH,MFE,DFW,17,500,500,DCT JIMIE DCT CRP DCT TNV DCT LOA DCT STUFT BEREE1
147,ASH,MFE,DFW,18,454,454,V20 JIMIE V70 CRP DCT CWK DCT GUTZZ BOOVE4
148,ASH,MGM,DFW,11,592,592,DCT MEI DCT MLU DCT YUYUN BEREE1
149,ASH,MGM,DFW,12,585,585,DCT IGB DCT SQS DCT FEWWW SEEVR4
150,ASQ,MHK,DFW,11,393,393,DCT PER DCT IRW DCT IBAKE VKTRY2
151,ASQ,MHK,DFW,13,427,427,DCT TUL DCT HITUG SEEVR4
152,AAL,MKE,DFW,1,792,792,ACCRA3 ACCRA DCT RBS DCT STL DCT RZC DCT FSM DCT KOMMA DCT RRNET SEEVR4
153,AAL,MKE,DFW,11,872,872,DCT GREAS DCT JAYEX DCT DBQ J144 DSM J25 TUL DCT KLAWW VKTRY2
154,ASH,MKE,DFW,1,787,787,ACCRA3 ACCRA DCT RBS DCT STL DCT RZC DCT FSM DCT KOMMA DCT RRNET SEEVR4
155,ASH,MKE,DFW,11,872,872,DCT GREAS DCT JAYEX DCT DBQ J144 DSM J25 TUL DCT KLAWW VKTRY2
156,ASQ,MKE,DFW,1,787,787,ACCRA3 ACCRA DCT RBS DCT STL DCT RZC DCT FSM DCT KOMMA DCT RRNET SEEVR4
157,ASQ,MKE,DFW,11,872,872,DCT GREAS DCT JAYEX DCT DBQ J144 DSM J25 TUL DCT KLAWW VKTRY2
158,ASH,MLI,DFW,11,619,619,DCT UIN DCT RZC DCT FSM DCT KOMMA DCT RRNET SEEVR4
159,ASH,MLI,DFW,12,645,645,DCT IRK J87 TUL DCT KLAWW VKTRY2
160,ENY,MLU,DFW,11,306,306,DCT YUYUN BEREE1
161,ENY,MLU,DFW,12,321,321,DCT ELD DCT FEWWW SEEVR4
162,ASH,MLU,DFW,11,273,273,DCT YUYUN BEREE1
163,ASH,MLU,DFW,12,321,321,DCT ELD DCT FEWWW SEEVR4
164,ASH,MOB,DFW,11,514,514,DCT AEX DCT PNUTS BEREE1
165,ASH,MOB,DFW,16,509,509,DCT MLU DCT EIC DCT RRONY SEEVR4
166,ENY,MOB,DFW,11,514,514,DCT AEX DCT PNUTS BEREE1
167,ENY,MOB,DFW,16,509,509,DCT MLU DCT EIC DCT RRONY SEEVR4
168,ENY,MSN,DFW,11,733,733,DCT UIN DCT SGF DCT RZC DCT FSM DCT KOMMA DCT RRNET SEEVR4
169,ENY,MSN,DFW,12,756,756,DCT DBQ DCT IRK J87 TUL DCT KLAWW VKTRY2
170,AAL,MSP,DFW,16,800,800,RST9 ALO DCT IRK DCT SGF DCT RZC DCT FSM DCT KOMMA DCT RRNET SEEVR4
171,AAL,MSP,DFW,49,771,771,ORSKY1 OVR DCT PER DCT IRW DCT IBAKE VKTRY2
172,AAL,MSY,DFW,1,433,433,DCT AEX DCT PNUTS BEREE1
173,AAL,MSY,DFW,16,517,517,DCT MCB DCT HARES DCT SUTTN J52 TXK DCT RRONY SEEVR4
174,ASH,MSY,DFW,1,433,433,DCT AEX DCT PNUTS BEREE1
175,ASH,MSY,DFW,16,517,517,DCT MCB DCT HARES DCT SUTTN J52 TXK DCT RRONY SEEVR4
176,AAL,OKC,DFW,12,163,163,MUDDE3 MOOSE DCT RBUKL VKTRY2
177,AAL,OKC,DFW,16,241,241,RDHWK3 HOLLE DCT MLC DCT AXXEE SEEVR4
178,ASH,OKC,DFW,12,163,163,MUDDE3 MUDDE DCT RBUKL VKTRY2
179,ASH,OKC,DFW,16,241,241,RDHWK3 HOLLE DCT MLC DCT AXXEE SEEVR4
180,AAL,ONT,DFW,1,1097,1097,RAJEE3 MTBAL DCT CNERY DCT BLH J169 TFD J50 SSO J4 INK DCT GEEKY BOOVE4
181,AAL,ONT,DFW,12,1064,1064,RAJEE3 AVRRY DCT NICKT J74 PAYSO DCT KA27S DCT KA27W DCT TXO DCT TURKI VKTRY2
182,AAL,ORD,DFW,2,715,715,DCT ACITO DCT ADELL DCT ARLYN DCT STL DCT FSM DCT KOMMA DCT RRNET SEEVR4
183,AAL,ORD,DFW,13,783,783,DCT ACITO DCT ADELL DCT ARLYN DCT STL J8 SGF DCT TUL DCT KLAWW VKTRY2
184,AAL,ORF,DFW,1,1154,1154,DCT FKN DCT RDU DCT SPA J14 VUZ J52 SQS DCT YUYUN BEREE1
185,AAL,ORF,DFW,11,1102,1102,DCT FKN DCT PSK J22 VXV J46 SOPIE J6 LIT DCT MEEOW DCT FEWWW SEEVR4
186,AAL,PHX,DFW,1,778,778,BROAK1 MAXXO DCT CRTTR DCT TXO DCT TURKI VKTRY2
187,AAL,PHX,DFW,15,834,834,TFD4 TFD DCT TCS J65 CME DCT BGS DCT GEEKY BOOVE4
188,ASH,PIA,DFW,11,601,601,DCT SGF DCT RZC DCT FSM DCT KOMMA DCT RRNET SEEVR4
189,ASH,PIA,DFW,13,663,663,DCT SGF DCT IRW DCT IBAKE VKTRY2
190,AAL,PSP,DFW,1,1034,1034,DCT TRM DCT BLH J169 TFD J50 SSO J4 INK DCT GEEKY BOOVE4
191,AAL,PSP,DFW,14,1033,1033,DCT PKE DCT DRK J78 ABQ J72 TXO DCT TURKI VKTRY2
192,AAL,RDU,DFW,2,936,936,SHPRD3 SHPRD DCT VXV DCT MEM DCT LIT DCT MEEOW DCT FEWWW SEEVR4
193,AAL,RDU,DFW,14,1005,1005,SHPRD3 SHPRD DCT SPA J118 SALMS DCT SQS DCT YUYUN BEREE1
194,AAL,RIC,DFW,11,1094,1094,KALLI3 LYH DCT PSK J22 VXV DCT SYI DCT SQS DCT YUYUN BEREE1
195,AAL,RIC,DFW,15,1018,1018,KALLI3 SANNY DCT VXV DCT MEM J66 LIT DCT MEEOW DCT FEWWW SEEVR4
196,ENY,ROW,DFW,11,416,416,DCT GEEKY BOOVE4
197,ENY,ROW,DFW,12,423,423,DCT TXO DCT TURKI VKTRY2
198,AAL,SAN,DFW,1,1072,1072,ZZOOO2 IPL J18 GBN J50 SSO J4 INK DCT GEEKY BOOVE4
199,AAL,SAN,DFW,2,1063,1063,ZZOOO2 IPL J18 PXR J18 SJN J74 TXO DCT TURKI VKTRY2
200,AAL,SAN,DFW,11,1059,1059,ZZOOO2 IPL J18 GBN DCT ONM DCT TXO DCT MDANO VKTRY2
201,AAL,SAT,DFW,16,236,236,ALAMO2 GOBBY DCT GUTZZ BOOVE4
202,AAL,SAT,DFW,14,359,359,DCT TNV DCT STUFT BEREE1
203,AAL,SAV,DFW,11,869,869,DCT SMALZ DCT WIGVO DCT DBN DCT MGM DCT MLU DCT YUYUN BEREE1
204,AAL,SAV,DFW,13,845,845,DCT SMALZ DCT WIGVO DCT DBN DCT MCN DCT VUZ DCT BAKRE DCT MATIE DCT FEWWW SEEVR4
205,ENY,SAV,DFW,11,862,862,DCT DBN DCT MGM DCT MLU DCT YUYUN BEREE1
206,ENY,SAV,DFW,13,838,838,DCT DBN DCT MCN DCT VUZ DCT BAKRE DCT MATIE DCT FEWWW SEEVR4
207,AAL,SBA,DFW,13,1162,1162,KWANG5 HENER DCT FIM V386 PMD J6 ABQ J72 TXO DCT TURKI VKTRY2
208,AAL,SBA,DFW,12,1199,1199,MISHN2 BOILE Q2 HEDVI DCT SALOM J65 TCS J166 CME DCT GEEKY BOOVE4
209,ENY,SGF,DFW,11,329,329,DCT FSM DCT RRNET SEEVR4
210,ENY,SGF,DFW,13,372,372,DCT EOS DCT TUL DCT KLAWW VKTRY2
211,ASH,SHV,DFW,11,214,214,DCT BEREE BEREE1
212,ASH,SHV,DFW,15,233,233,DCT TXK DCT RRONY SEEVR4
213,ENY,SHV,DFW,11,214,214,DCT BEREE BEREE1
214,ENY,SHV,DFW,15,233,233,DCT TXK DCT RRONY SEEVR4
215,AAL,SNA,DFW,1,1102,1102,PIGGN2 CNERY DCT BLH J169 TFD J50 SSO J4 INK DCT GEEKY BOOVE4
216,AAL,SNA,DFW,12,1068,1068,PIGGN2 AVRRY DCT LANCY DCT KA27O DCT KA27U DCT TXO DCT TURKI VKTRY2
217,ENY,SPI,DFW,11,564,564,DCT FTZ DCT RZC DCT FSM DCT KOMMA DCT RRNET SEEVR4
218,ENY,SPI,DFW,13,604,604,DCT COU DCT TUL DCT KLAWW VKTRY2
219,AAL,STL,DFW,1,497,497,JAHNY4 MAP DCT RZC DCT FSM DCT RRNET SEEVR4
220,AAL,STL,DFW,12,549,549,JAHNY4 MAP DCT SGF DCT TUL DCT KLAWW VKTRY2
221,ENY,SWO,DFW,12,254,254,DCT OKM DCT MLC WILBR4
222,ENY,SWO,DFW,14,246,246,DCT MLC DCT AXXEE SEEVR4
223,AAL,TUL,DFW,12,229,229,DCT PEJAY DCT AXXEE SEEVR4
224,AAL,TUL,DFW,13,255,255,DCT YARNS DCT IBAKE VKTRY2
225,ASH,TUL,DFW,12,229,229,DCT PEJAY DCT AXXEE SEEVR4
226,ASH,TUL,DFW,13,255,255,DCT YARNS DCT IBAKE VKTRY2
227,AAL,TUS,DFW,24,745,745,BURRO4 NOCHI DCT ELP J50 INK DCT GEEKY BOOVE4
228,AAL,TUS,DFW,43,799,799,WLDKT3 SSO J50 ALIBY J2 ELP J26 CME DCT MDANO VKTRY2
229,ENY,TXK,DFW,11,173,173,DCT TXK DCT RRONY SEEVR4
230,ENY,TXK,DFW,13,237,237,DCT URH DCT VKTRY VKTRY2
231,ENY,TYR,DFW,11,134,134,DCT BEREE BEREE1
232,ENY,TYR,DFW,13,135,135,DCT DUCAG DCT JAYXX DCT SEEVR SEEVR4
233,ASQ,TYS,DFW,11,680,680,DCT SYI DCT MEM J66 LIT DCT MEEOW DCT FEWWW SEEVR4
234,ASQ,TYS,DFW,13,768,768,DCT GQO DCT VUZ J52 SQS DCT YUYUN BEREE1
235,ENY,TYS,DFW,11,680,680,DCT SYI DCT MEM J66 LIT DCT MEEOW DCT FEWWW SEEVR4
236,ENY,TYS,DFW,13,768,768,DCT GQO DCT VUZ J52 SQS DCT YUYUN BEREE1
237,AAL,VPS,DFW,11,615,615,DCT CEW J50 MCB DCT AEX DCT PNUTS BEREE1
238,AAL,VPS,DFW,18,596,596,DCT CEW J50 MCB DCT AEX CQY8
239,ENY,VPS,DFW,11,615,615,DCT CEW J50 MCB DCT AEX DCT PNUTS BEREE1
240,ENY,VPS,DFW,18,633,633,DCT CEW DCT MEI DCT SQS DCT FEWWW SEEVR4
241,ENY,XNA,DFW,11,273,273,DCT KOMMA DCT RRNET SEEVR4
242,ENY,XNA,DFW,13,312,312,DCT TUL DCT KLAWW VKTRY2
